modelo,r2,mse,mae,coef,intercept,model
Petróleo vs Gasoil,0.08703817744221964,27876133908.470848,141879.76802978502,-0.17483057850428188,1401418.704205138,LinearRegression()
Petróleo vs Naftas,0.24328281022234444,33958265343.318916,149543.61108606769,-0.35615488126590583,1360978.1541455304,LinearRegression()
Gas vs Gasoil,0.026261809701347616,29731863385.601086,141062.7897918455,0.1332193086889168,588760.3083838051,LinearRegression()
Gas vs Naftas,-0.04242555071901766,46779647575.30213,194454.36630967451,0.04769095808456206,394574.9901104505,LinearRegression()
